k;n;test_size;accuracy;precision_macro;precision_micro;recall_macro;recall_micro;f1_macro;f1_micro
1;1;0.3;0.74;0.74;0.74;0.73;0.74;0.73;0.74
1;1.5;0.3;0.74;0.73;0.74;0.73;0.74;0.73;0.74
1;2;0.3;0.74;0.74;0.74;0.74;0.74;0.74;0.74
1;3;0.3;0.74;0.73;0.74;0.74;0.74;0.73;0.74
1;4;0.3;0.74;0.74;0.74;0.73;0.74;0.73;0.74
2;1;0.3;0.70;0.69;0.70;0.69;0.70;0.69;0.70
2;1.5;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
2;2;0.3;0.69;0.68;0.69;0.68;0.69;0.68;0.69
2;3;0.3;0.68;0.68;0.68;0.67;0.68;0.67;0.68
2;4;0.3;0.68;0.68;0.68;0.68;0.68;0.68;0.68
3;1;0.3;0.70;0.69;0.70;0.69;0.70;0.69;0.70
3;1.5;0.3;0.70;0.70;0.70;0.70;0.70;0.70;0.70
3;2;0.3;0.71;0.70;0.71;0.70;0.71;0.70;0.71
3;3;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
3;4;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
4;1;0.3;0.70;0.69;0.70;0.69;0.70;0.69;0.70
4;1.5;0.3;0.70;0.70;0.70;0.70;0.70;0.70;0.70
4;2;0.3;0.68;0.68;0.68;0.68;0.68;0.68;0.68
4;3;0.3;0.70;0.69;0.70;0.69;0.70;0.69;0.70
4;4;0.3;0.69;0.68;0.69;0.68;0.69;0.68;0.69
5;1;0.3;0.68;0.68;0.68;0.68;0.68;0.68;0.68
5;1.5;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
5;2;0.3;0.70;0.69;0.70;0.69;0.70;0.69;0.70
5;3;0.3;0.69;0.68;0.69;0.68;0.69;0.68;0.69
5;4;0.3;0.69;0.68;0.69;0.68;0.69;0.68;0.69
6;1;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
6;1.5;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
6;2;0.3;0.70;0.69;0.70;0.69;0.70;0.69;0.70
6;3;0.3;0.72;0.71;0.72;0.71;0.72;0.71;0.72
6;4;0.3;0.70;0.69;0.70;0.69;0.70;0.69;0.70
7;1;0.3;0.69;0.69;0.69;0.70;0.69;0.70;0.69
7;1.5;0.3;0.70;0.70;0.70;0.70;0.70;0.70;0.70
7;2;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
7;3;0.3;0.70;0.69;0.70;0.70;0.70;0.70;0.70
7;4;0.3;0.70;0.69;0.70;0.69;0.70;0.69;0.70
8;1;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
8;1.5;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
8;2;0.3;0.70;0.69;0.70;0.69;0.70;0.69;0.70
8;3;0.3;0.69;0.68;0.69;0.69;0.69;0.68;0.69
8;4;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
9;1;0.3;0.70;0.70;0.70;0.70;0.70;0.70;0.70
9;1.5;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
9;2;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
9;3;0.3;0.69;0.70;0.69;0.70;0.69;0.70;0.69
9;4;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
10;1;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
10;1.5;0.3;0.69;0.69;0.69;0.69;0.69;0.69;0.69
